id,class,color,name,longitude,latitude
fr241,councildata,#4b4c7a,PASEO EXTREMADURA 105,-3.734325500000000,40.411262800000003
fr242,councildata,#4b4c7a,AVENIDA PORTUGAL 131,-3.736328700000000,40.411695199999997
fr243,councildata,#4b4c7a,CALLE GUADARRAMA 26,-3.730908600000000,40.410665600000002
fr244,councildata,#4b4c7a,PASEO EXTREMADURA 160,-3.739549500000000,40.409729800000001
fr245,councildata,#4b4c7a,CALLE HUERTA DE CASTAÑEDA 25,-3.703790200000000,40.416775399999999
fr246,councildata,#4b4c7a,CALLE HUERTA DE CASTAÑEDA 34,-3.703790200000000,40.416775399999999
fr247,councildata,#4b4c7a,CALLE OCAÑA 63,-3.739202400000000,40.388893400000001
fr248,councildata,#4b4c7a,CALLE VIA CARPETANA 324,-3.742692900000000,40.391735500000003
fr249,councildata,#4b4c7a,CALLE ESCALONA 88,-3.766646900000000,40.395366199999998
fr250,councildata,#4b4c7a,CALLE GALICIA 14,-3.771496700000000,40.397898800000000
fr251,councildata,#4b4c7a,PASEO EXTREMADURA 100,-3.733039600000000,40.412136699999998
fr252,councildata,#4b4c7a,AVENIDA OSA MAYOR 34,-3.779394500000000,40.459550200000002
fr253,councildata,#4b4c7a,CALLE FERMIN CABALLERO 76,-3.714774100000000,40.481618200000000
fr254,councildata,#4b4c7a,CALLE ISLA DE ONS 20,-3.721937200000000,40.480092800000001
fr255,councildata,#4b4c7a,CALLE FERMIN CABALLERO 7,-3.699834500000000,40.486702500000000
fr256,councildata,#4b4c7a,CALLE SARRIA 52,-3.714140000000000,40.475749999999998
fr257,councildata,#4b4c7a,AVENIDA MONFORTE DE LEMOS 119,-3.709210000000000,40.478130000000000
fr258,councildata,#4b4c7a,CALLE GINZO DE LIMIA 39,-3.704429800000000,40.478849900000000
fr259,councildata,#4b4c7a,CALLE ISLA PARAGUA 16,-3.686792899999999,40.493152700000003
fr260,councildata,#4b4c7a,CALLE GRAN AVENIDA 35,-3.705878300000000,40.370055099999988
fr261,councildata,#4b4c7a,CALLE GRAN AVENIDA 24,-3.705521900000000,40.369267399999998
fr262,councildata,#4b4c7a,CALLE JULIO MERINO 3,-3.702778500000000,40.383070699999998
fr263,councildata,#4b4c7a,CALLE PILARICA 18,-3.703435300000000,40.385966199999999
fr264,councildata,#4b4c7a,CALLE MARCELO USERA 3,-3.700169600000000,40.387595200000000
fr265,councildata,#4b4c7a,CALLE MARCELO USERA 16,-3.700739800000000,40.387484299999997
fr266,councildata,#4b4c7a,CALLE MARCELO USERA 74,-3.705505300000000,40.385963699999998
fr267,councildata,#4b4c7a,CALLE CRISTO DE LA VICTORIA 88,-3.703170500000000,40.380782099999998
fr268,councildata,#4b4c7a,CALLE SAN MAXIMO 31,-3.693228700000000,40.376764100000003
fr269,councildata,#4b4c7a,CALLE CALDERILLA 1,-3.737479099999999,40.363727799999999
fr270,councildata,#4b4c7a,GLORIETA VALLE DE ORO 2,-3.730906300000000,40.388641999999997
fr271,councildata,#4b4c7a,CALLE GENERAL RICARDOS 83,-3.722784099999999,40.393540199999997
fr272,councildata,#4b4c7a,CALLE GENERAL RICARDOS 40,-3.720147000000000,40.395593599999998
fr273,councildata,#4b4c7a,CALLE LUISA MUÑOZ 2,-3.714876300000000,40.425959800000001
fr274,councildata,#4b4c7a,CALLE OCA 22,-3.733690200000000,40.389493899999998
fr275,councildata,#4b4c7a,CALLE LAGUNA 28,-3.742358499999999,40.390742299999999
fr276,councildata,#4b4c7a,CALLE VIA CARPETANA 173,-3.743251100000000,40.390494800000013
fr277,councildata,#4b4c7a,PASEO MARCELINO CAMACHO 24,-3.741406400000000,40.386556900000002
fr278,councildata,#4b4c7a,CALLE GUABAIRO 19,-3.745675700000000,40.385719299999998
fr279,councildata,#4b4c7a,AVENIDA NUESTRA SEÑORA DE FATIMA 96,-3.747655500000000,40.382816299999988
