company,name,address,lat,lng,postal_code,locality,adm4,adm1,country
codere,SALON RECREATIVO MAGIC STAR,"Avenida GENERALITAT, 54, Santa Coloma de Gramenet",41.4486461,2.2102936,08922,Santa Coloma de Gramenet,Santa Coloma de Gramenet,Catalonia,Spain
codere,SALON RENO,"VICTORIA, 204, Burgos",39.5296329,-119.8138027,89501,Reno,,Nevada,United States
codere,SALON RINCON DE MANOLO,"JUAN II, 27, Arrecife",28.9643349,-13.5663778,35500,Arrecife,Arrecife,Canary Islands,Spain
codere,SALON ROCIANA,"LA FUENTE, 91, Rociana Del Condado",37.3098063,-6.596720800000001,21720,Rociana del Condado,Rociana del Condado,Andalusia,Spain
codere,SALON SANTA FE,"QUINTERO BAEZ, 10, Huelva",35.6869752,-105.937799,87501,Santa Fe,,New Mexico,United States
codere,SALON SANTA MARTA,"VIRGEN DE GUADALUPE, 5, Santa Marta De Los Barros",38.6156099,-6.625937,06150,Santa Marta,Santa Marta,Extremadura,Spain
codere,SALON SATSUMA,"Satsuma, 16",30.861842,-88.03710699999999,36572,Satsuma,,Alabama,United States
codere,SALON SAX,"GRAN VIA, 18, Sax",40.419913,-3.6996936,28004,Madrid,Madrid,Community of Madrid,Spain
codere,SALON SHANGHAI,"SEVILLA, 33, Fuengirola",36.5420776,-4.628225,29640,Fuengirola,Fuengirola,Andalusia,Spain
codere,SALON SILLA,"VALENCIA, 2, Silla",39.3650672,-0.4107985,46460,Silla,Silla,Valencian Community,Spain
codere,SALON SL LAPURBIDE,"LAPURBIDE KALEA, 7, Ansoain",42.8329513,-1.6381283,31013,Ansoáin,Ansoáin,Navarre,Spain
codere,SALON TALAVERA,"CONSTITUCION, 27, Talavera de la Reina",39.9654438,-4.8143392,45600,Talavera de la Reina,Talavera de la Reina,Castile-La Mancha,Spain
codere,SALON TARAZONA,"DE LA RODA, 40, Tarazona De La Mancha",39.2596571,-1.9142122,02100,Tarazona de la Mancha,Tarazona de la Mancha,Castile-La Mancha,Spain
codere,SALON TETUAN,"JOSE GARCIA COSIO, Ceuta",35.5888995,-5.3625516,,Tetouan,,Tangier-Tétouan-Al Hoceima,Morocco
