CD_CENTRO,ETIQUETA,DIRECCION,CMUNI,MUNICIPIO,UTM_Y,UTM_X
28077245,CEE Sección de Enseñanza Ecuestre del Ministerio de Defensa,"Paseo de Extremadura, 445",079,Madrid,4471059,433893
28077269,IES María Rodrigo,"Calle Talamanca Del Jarama, 2",079,Madrid,4468695,447368
28077300,EEI La Alameda (Programa Casa de Niños),"Calle Concepción Arenal, 15",058,Fuenlabrada,4460630,428473
28077312,EEI Los Gorriones,"Calle de Creta, 2",058,Fuenlabrada,4459207,431747
28077336,CEIP Averroes,Avenida Francia Esquina Calle Suiza,015,Arroyomolinos,4459534,421610
28077348,CEIP La Luna,"Avenida de la Tierra, 2",123,Rivas-Vaciamadrid,4469463,454312
28077385,EEI Juan Farias (Programa Casa de Niños),"Calle Toledo, 18",181,Villaviciosa de Odón,4467737,424846
28077439,EEI Las Brisas (Programa Casa de Niños),"Avenida Conde de Belmonte, 4",019,Belmonte de Tajo,4442504,471642
28077440,EEI Prado Alto (Programa Casa de Niños),"Calle Murillo, 4",026,Brunete,4473334,415685
28077491,IES José Luis Sampedro Tres Cantos,"Calle de Eslovaquia, s/n",903,Tres Cantos,4496886,439658
28077841,CEIP El Vellón,Calle pozonuevo,168,Vellón (El),4513315,451333
28077865,CEIP Alfredo Di Stefano,"Calle Félix Candela, 4",079,Madrid,4483066,447175
28077877,CEIP Ángel Nieto,"Calle Enrique García Álvarez, s/n",079,Madrid,4470376,447759
28077889,IES Malala Yousafzai,"Calle Sierra de Atapuerca, 5",079,Madrid,4483596,442941
28077890,IES Simone Veil,"Paseo Camelias, s/n",104,Paracuellos de Jarama,4483153,456379
28077907,IES Africa,"Calle Portugal, 41",058,Fuenlabrada,4459802,431173
28077971,IES Federica Montseny,"Calle Torrente, 52",058,Fuenlabrada,4460207,430923
28078031,IES Boadilla III,"Calle Cristóbal Colón, 12",022,Boadilla del Monte,4473944,422735
28078043,IES Alcobendas V,Avenida Pablo Iglesias Esquina Con C/ Gloria Fuertes,006,Alcobendas,4489618,444462
28078158,EEI Parque Coimbra (Programa Casa de Niños),"Calle Cerezo, 2",092,Móstoles,4462999,421679
28078547,IES Elisa Soriano Fischer,"Avenida de Méjico, 1",065,Getafe,4463749,436924
28078559,IES Antonio Fraguas Forges,"Calle Jacaranda, s/n",079,Madrid,4472119,442279
28078560,CEE Rosa Parks,"Avenida Berlín, 24",049,Coslada,4474109,453703
28078572,CEIP María Blanchard,"Calle Niceto Alcalá Zamora, 8",065,Getafe,4461017,435791
28078584,CEIP Gabriela Morreale,Calle Londres C/v Viena C/v Nogal,074,Leganés,4466112,434069
28078596,CEIP Maruja Mallo,Avenida Vía Láctea C/v Av. de la Onu C/v Camino Human,092,Móstoles,4462439,427180
28078602,CEIP Ivonne Blacke,Calle Medicina Esquina Camino de San Marcos,058,Fuenlabrada,4460298,429831
28078614,CEIP Josefina Carabias,"Avenida Juan Pablo II, s/n",023,Boalo (El),4509287,419814
28078626,CEIP María de Maeztu,"Calle Miguel de Unamuno, s/n",023,Boalo (El),4505506,421868
28078663,EEI Gloria Fuertes (Programa Casa de Niños),"Avenida España, 2",144,Soto del Real,4511747,433187
