"id_local","clase_vial_acceso","desc_vial_acceso","num_acceso","rotulo","desc_seccion","desc_division","lng","lat","label"
139,"GLORIETA","CUATRO CAMINOS",1,"OASIS","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.7043669","40.446587",
140,"CALLE","ARAPILES",5,"SALON DE JUEGO NEVADA",,"SALONES DE RECREO Y DIVERSION Y OTRAS ACTIVIDADES RECREATIVAS","-3.7050788","40.4332146","notcouncildata"
141,"CALLE","SANTA ENGRACIA",73,"LAS VEGAS",,"JUEGOS DE AZAR Y APUESTAS DE GESTION PUBLICA O O AUTORIZACION ESPECIAL (ESTADO Y ONCE)","-3.6990847","40.4352653","notcouncildata"
142,"AVENIDA","MONFORTE DE LEMOS",131,"JUEGOS","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.7114917","40.4776428",
143,"CALLE","PONFERRADA",9,"TIENDA OFICIAL CODERE","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.7135326","40.4749457",
144,"CALLE","SARRIA",52,"JUTECO","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.71414","40.47575",
145,"AVENIDA","MONFORTE DE LEMOS",119,"JUEGOS MADRID","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.70921","40.47813",
146,"AVENIDA","MONFORTE DE LEMOS",157,"BINGO SALA MONFORTE","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.71405","40.47665",
147,"CALLE","GINZO DE LIMIA",39,"SALON DE JUEGO NEVADA","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.7044298","40.4788499",
148,"CALLE","FERMIN CABALLERO",7,"LUCKIA APUESTAS","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.6998345","40.4867025",
